<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
25/04/16;000000;104.9000000;105.6500000;104.5100000;105.0700000;1673873
26/04/16;000000;104.0100000;105.2950000;104.0000000;104.3000000;2331111
27/04/16;000000;96.0200000;98.7000000;95.6900000;97.8100000;6586149
28/04/16;000000;97.6100000;97.8800000;94.2500000;94.8300000;5850347
29/04/16;000000;93.9800000;94.6800000;92.5200000;93.7500000;4550050
02/05/16;000000;93.9600000;94.0600000;92.4000000;93.6550000;2644195
03/05/16;000000;94.2200000;95.7400000;93.6800000;95.1900000;3236829
04/05/16;000000;95.1900000;95.8900000;93.8300000;94.2100000;2671794
05/05/16;000000;94.0000000;94.0150000;92.6900000;93.2200000;2121220
06/05/16;000000;93.3900000;93.4200000;91.8600000;92.6900000;2489004
09/05/16;000000;92.9900000;93.7700000;92.5900000;92.7900000;1828175
10/05/16;000000;93.3500000;93.5700000;92.1200000;93.4000000;1966674
11/05/16;000000;93.4400000;93.5650000;92.4600000;92.5200000;1767993
12/05/16;000000;92.7600000;92.7700000;89.4700000;90.3300000;4660650
13/05/16;000000;90.0050000;91.6700000;90.0000000;90.5200000;2849589
16/05/16;000000;92.3900000;94.3900000;91.6500000;93.8800000;3347744
17/05/16;000000;94.6200000;94.6800000;93.0100000;93.4800000;3233695
18/05/16;000000;94.1800000;95.2100000;93.9000000;94.5800000;3334972
19/05/16;000000;94.5700000;94.5800000;93.5750000;94.2100000;1896500
20/05/16;000000;94.6800000;95.4300000;94.6000000;95.2100000;2128349
23/05/16;000000;95.8700000;97.1800000;95.6800000;96.4500000;2188227
24/05/16;000000;97.2200000;98.0800000;96.8500000;97.8900000;2274167
25/05/16;000000;98.6100000;99.7300000;98.1100000;99.5900000;2402350
26/05/16;000000;99.6700000;100.7300000;98.6400000;100.4100000;2421560
27/05/16;000000;99.4200000;100.4700000;99.2600000;100.3300000;2965722
31/05/16;000000;99.6200000;100.4000000;98.8300000;99.8600000;2163665
01/06/16;000000;99.0000000;99.5400000;98.3300000;98.4300000;2299445
02/06/16;000000;97.6700000;97.8400000;96.6300000;97.7100000;2592315
03/06/16;000000;97.7900000;98.2600000;97.4600000;97.9100000;2674991
06/06/16;000000;97.9900000;99.1200000;97.5600000;98.6400000;2003584
07/06/16;000000;99.3100000;99.8700000;98.9600000;99.0400000;2008951
08/06/16;000000;99.1600000;99.5500000;98.6900000;98.9300000;1310518
09/06/16;000000;98.4700000;99.9900000;98.4700000;99.6700000;2534631
10/06/16;000000;98.5300000;99.3450000;98.4900000;98.8400000;2319044
13/06/16;000000;98.6000000;99.1200000;97.1000000;97.3700000;3783045
14/06/16;000000;97.3400000;98.4700000;96.7500000;97.4600000;2866374
15/06/16;000000;97.8500000;98.4100000;97.0300000;97.1600000;2489695
16/06/16;000000;96.4300000;97.7500000;96.0700000;97.5500000;3079446
17/06/16;000000;96.5600000;96.6400000;95.3050000;95.3500000;3214627
20/06/16;000000;96.0100000;96.5700000;95.0300000;95.0900000;2415337
21/06/16;000000;94.9400000;96.3500000;94.6900000;95.9200000;3543446
22/06/16;000000;96.3800000;96.8900000;95.3600000;95.5500000;2266958
23/06/16;000000;95.9900000;96.1000000;95.2500000;96.0900000;2701569
24/06/16;000000;92.9200000;94.6500000;92.6500000;93.3500000;5427268
27/06/16;000000;93.0500000;93.0500000;91.5000000;92.0300000;4413703
28/06/16;000000;92.9000000;93.6600000;92.1500000;93.5800000;3253329
29/06/16;000000;93.9400000;94.5500000;93.6350000;94.3900000;3150130
30/06/16;000000;94.4400000;95.7700000;94.3000000;95.6100000;2679120
01/07/16;000000;95.4900000;96.4600000;95.3300000;95.8950000;2372463
